Ngày đăng,Loại hình,Diện tích (m²),Giá (tỷ),Giấy tờ pháp lý,Số phòng ngủ,Số phòng vệ sinh,Tình trạng nội thất,Link
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",52.0,1.49,Sổ đỏ/ Sổ hồng,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/chinh-chu-mo-ban-kiot-1pn-2pn-tai-vu-tong-phan-kinh-doanh-duoc-pr42877694
06/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",35.0,1.46,Hợp đồng mua bán,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-trung/ban-gap-cc-1pn-1vs-35m2-1-46-ty-tai-thanh-xuan-hn-pr44195683
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cách Mạng Tháng Tám",59.63,3.15,Sổ hồng,3,2,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cach-mang-thang-tam-phuong-15-3/giam-600tr-ban-cmt8-p-15-q10-so-ng-day-du-gia-3-15-ty-pr44290276
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cách Mạng Tháng Tám",30.3,1.5,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cach-mang-thang-tam-phuong-4-12/chinh-chu-ban-studio-gia-1-5-ty-thuong-luong-pr44289533
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cao Thắng",45.2,3.6,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cao-thang-phuong-2-14/-dep-lung-linh-full-noi-that-co-may-45-2m2-nhinh-3ty-pr42944057
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cao Thị Chính",60.0,3.2,Sổ đỏ/ Sổ hồng,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cao-thi-chinh-phuong-phu-thuan-3/ban-cc-2pn-3-2-ty-60m2-pr44212453
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cầu Giấy",100.0,55.0,Sổ đỏ/ Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cau-giay-phuong-van-mieu-quoc-tu-giam/sieu-pham-100m-8-tang-co-ham-o-to-vao-nha-mat-tien-rong-hiem-co-2-mat-thoan-pr44401786
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Chiến Lược",50.0,1.3,Sổ đỏ/ Sổ hồng,1,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-chien-luoc-xa-binh-chanh-3/chi-thanh-toan-20-ban-co-the-so-huu-2pn-mt-ql1a-cach-c-1km-pr44301901
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Chính Hữu",88.0,36.0,Đầy đủ pháp lý khác,5,6,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-chinh-huu-phuong-phuoc-my/ban-toa-apartment-mt-8-tang-9-2pn-full-noi-that-truc-10m5-rong-rai-cach-bien-5p-pr44279093
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cư Xá Bình Thới",72.13,2.95,Sổ đỏ/ Sổ hồng,3,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cu-xa-binh-thoi-phuong-8-11/quan-11-ban-ngay-benh-vien-quan-11-8-so-hong-day-du-pr44295389
20/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cửu Việt 1",44.0,1.0,Hợp đồng mua bán,3,1,Không nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cuu-viet-1-thi-tran-trau-quy/ban-cc-tai-1-1-ty-44-m2-3pn-1wc-hang-hiem-tai-hot-pr44318055
23/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cửu Việt 1",44.0,1.0,Hợp đồng mua bán,2,1,Không nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cuu-viet-1-thi-tran-trau-quy/chinh-chu-ban-ccmini-tang-9-1-gia-lam-ha-noi-pr44349388
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đại Linh",40.0,1.35,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dai-linh-phuong-trung-van/ban-ccmn-so-hong-tung-chi-1-3xxtr-to-huu-linh-pr44316434
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đại Từ",45.0,1.78,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dai-tu-phuong-thinh-liet/-hoang-mai-ha-noi-gia-sieu-hoi-1-78-ty-45m2-pr44294091
06/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đặng Vũ Hỷ",65.0,2.85,Đang chờ sổ,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dang-vu-hy-phuong-duc-giang-2/ban-cc-2pn-1wc-tai-long-bien-ha-noi-gia-tot-chi-voi-2-85-ty-vnd-pr44184918
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đê La Thành",35.0,1.67,Sổ đỏ,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-de-la-thanh_1-phuong-kham-thien/ban-ccmn-p-xa-dan-dong-da-nga-6-o-c-dua-pr44318952
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Điện Biên Phủ",34.0,1.75,Sổ đỏ/ Sổ hồng,1,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dien-bien-phu-phuong-11-5/ban-1pn-1wc-tai-1-75-ty-34m2-chinh-chu-pr44080904
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đinh Bộ Lĩnh",50.0,3.8,Sổ đỏ/ Sổ hồng,3,2,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dinh-bo-linh-phuong-15-5/ban-2h-p15-binh-thanh-3-8-ty-3pn-2wc-pr44301016
30/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đình Thôn",45.0,2.28,Hợp đồng mua bán,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dinh-thon-phuong-my-dinh-1/chinh-chu-ban-gap-2-ngu-1-khach-ngo-67-thon-pr44417508
23/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đỗ Đức Dục",50.0,1.27,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-do-duc-duc-phuong-me-tri/moi-xay-2025-chinh-chu-ban-studio-1-2p-ngu-tai-ha-full-o-ngay-pr44236051
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đỗ Quang Đẩu",24.0,1.99,Sổ đỏ/ Sổ hồng,1,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-do-quang-dau-phuong-pham-ngu-lao-1/ban-trung-tam-quan-1-ngay-bui-vien-24m-noi-that-xin-so-rieng-chi-2-05-ty-pr44268858
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đội Cấn",50.0,1.99,Sổ đỏ/ Sổ hồng,2,1,Khác,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-doi-can-phuong-doi-can/-moi-dep-nhat-ba-dinh-nhinh-2-ty-so-huu-ngay-pr44343582
20/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đội Cấn",35.0,0.8,Không rõ,1,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-doi-can-phuong-ngoc-ha/mo-ban-c1-ba-dinh-gia-800tr-den-hon-1-ty-pr42614731
27/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đông Tác",53.0,2.33,Hợp đồng mua bán,2,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dong-tac-phuong-kim-lien/ban-nha-o-ngay-gan-dai-c-y-va-c-vien-ngan-hang-da-2-33-ty-pr44388344
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Đông Tác",35.0,1.02,Sổ đỏ/ Sổ hồng,1,1,Khác,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dong-tac-phuong-kim-lien/vo-tran-gia-da-chiet-khau-cuc-sau-so-luong-co-han-pr43166350
28/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường ĐT 824",46.0,0.96,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dt-824-xa-my-hanh-bac/ban-cc-o-824-960-trieu-46m2-2pn-1wc-view-dep-chinh-chu-pr44394911
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường ĐT 824",46.0,0.8,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-dt-824-xa-my-hanh-nam/nha-o-hoi-duplex-hien-dai-gia-hat-de-dau-vao-300tr-so-huu-ngay-pr44408674
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Giáp Nhất",60.0,2.48,Hợp đồng mua bán,3,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-giap-nhat-phuong-nhan-chinh/ban-ccmn-3ngu-hiem-o-to-do-cua-cay-xang-lang-nga-4-so-pr44102962
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Gò Hưu",40.0,0.6,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-go-huu-xa-my-hanh-nam/-i-40m2-chi-600tr-tai-duc-a-pr44292279
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Gò Xoài",17.0,0.95,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-go-xoai-phuong-binh-hung-hoa-a/mo-bn-28-qun-tn-tro-vy-40-ti-gin-5-nm-pr43989136
30/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hàm Nghi",50.0,2.3,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ham-nghi-phuong-my-dinh-2/ban-ccmn-2-3-ty-gan-ben-xe-nguyen-co-thach-le-duc-tho-pr44418248
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hạnh Thông Tây",40.0,1.2,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hanh-thong-tay-phuong-11-8/-tng-quan-go-vap-nhan-nha-qiv-2024-1ty2-full-noi-that-pr40298679
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hồ Ba Mẫu",28.0,0.9,Sổ đỏ/ Sổ hồng,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-ba-mau-phuong-kim-lien/-xin-xo-ang-an-gan-gan-p-tien-nghi-du-gia-kng-the-re-n-pr43036876
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hồ Tùng Mậu",45.0,1.0,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-tung-mau-phuong-dich-vong-hau/mo-ban-c3-xuan-thuy-cau-giay-gia-ban-800tr-den-n-1-ty-pr42719101
30/10/2025,"Chung cư mini, căn hộ dịch vụ tại Diamond Goldmark City",137.0,0.04,Sổ đỏ/ Sổ hồng,6,6,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-tung-mau-phuong-phu-dien-prj-diamond-goldmark-city/toa-van-png-hang-a-rox-center-136-voi-muc-gia-chi-tu-45-trieu-m2-pr44416792
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hồ Văn Long",62.0,7.0,Không rõ,2,2,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-van-long-phuong-binh-hung-hoa-b/ban-cc-tai-tan-7-ty-62m2-png-thuy-tot-pr44311186
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Đạo Thành",55.0,2.25,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-dao-thanh-phuong-ha-dinh/ban-cc-2pn-1wc-55m2-tai-so-45-ngo-80-xuan-hn-2-ty-250-trieu-pr44320576
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Đạo Thành",65.0,2.45,Sổ đỏ,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-dao-thanh-phuong-khuong-dinh/ban-p-ang-xuan-dt-65m-2-ngu-gia-2-45-ty-pr44337943
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Hoa Thám",39.32,1.7,Khác,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-hoa-tham-phuong-10_4/chi-chu-sg-cat-lo-p10-da-lat-gia-sieu-re-chi-1ty7-co-so-ng-full-noi-that-sieu-dep-pr43555355
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Hoa Thám",35.0,1.55,Hợp đồng mua bán,1,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-hoa-tham-phuong-ngoc-ha/chinh-chu-ban-ngo-173-ang-a-gan-cv-bach-thao-full-noi-that-pr43193584
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Hoa Thám",26.0,0.9,Sổ đỏ/ Sổ hồng,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-hoa-tham-phuong-ngoc-ha/moi-doi-28-35-50m2-tang-vang-24k-full-noi-that-o-ngay-pr30068123
13/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",55.0,2.1,Khác,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-nhan-chinh/ban-ccmn-pho-thanh-xuan-ha-noi-2-ngu-1-ve-sinh-chi-2-1-ty-pr44263901
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",48.0,1.95,Khác,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-nhan-chinh/ban-ccmn-thanh-xuan-t-dep-noi-that-moi-dep-pr44312633
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",45.0,2.1,Hợp đồng mua bán,2,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-nhan-chinh/ccmn-2-ngu-ngo-oto-nhinh-2-ty-pr44311208
20/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",50.0,2.0,Khác,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-thanh-xuan-trung/2-phong-ngu-chi-2-ty-xuan-pr44317074
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",55.0,2.5,Khác,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-thanh-xuan-trung/ban-nhanh-ccmn-55m-co-2-ngu-gia-re-pr44340894
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hoàng Ngân",55.0,2.5,Khác,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-ngan-phuong-thanh-xuan-trung/chinh-chu-ban-ccmn-cach-mat-pho-chi-vai-buoc-dien-tich-55m-2-phong-ngu-pr44340810
11/10/2025,"Chung cư mini, căn hộ dịch vụ tại ICON40 Hạ Long",33.0,1.78,Đang chờ sổ,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-quoc-viet-phuong-hung-thang-1-prj-icon40-ha-long/icon-40-1-ty-780-trieu-full-noi-that-cao-cap-pr44249054
30/10/2025,"Chung cư mini, căn hộ dịch vụ tại SkyM",35.39,1.6,Hợp đồng mua bán,6,6,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hoang-quoc-viet-phuong-hung-thang-1-prj-skym/ban-tai-ha-long-1-6-ty-35-39-m2-pr44419142
27/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Hồng Hà",38.0,0.98,Khác,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-hong-ha-phuong-phuc-xa/-ba-dinh-n-thoang-sang-gan-o-to-dt-38m-gom-1n-kch-bep-vs-pr44381719
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",120.0,2.95,Sổ đỏ/ Sổ hồng,3,6,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-ha-dinh/-120m-3pn-rong-tang-full-noi-that-2-98-ty-pr44140831
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",50.0,2.15,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-ha-dinh/ban-ccmn-co-so-hong-tung-nga-4-so-pr44278907
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",52.0,2.33,Hợp đồng mua bán,2,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-ha-dinh/ban-gan-nga-tu-so-2-ngu-o-to-thanh-xuan-2-39-ty-pr44143288
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",48.0,1.75,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/ban-cc-2pn-1vs-50m2-tai-thanh-xuan-ha-noi-chi-voi-1-75-ty-pr44105906
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",52.0,1.99,Hợp đồng mua bán,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/ban-ccmn-2ngu-2wc-thoang-dep-gia-tot-thanh-xuan-pr44348814
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",33.0,1.32,Khác,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/ban-ccmn-co-so-dong-so-huu-thoang-dep-nga-4-so-pr43937587
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",36.0,1.3,Hợp đồng mua bán,1,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/ban-gan-nga-tu-so-36m-1-ngu-thanh-xuan-1-295-ty-pr44369431
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",38.0,1.3,Khác,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/chi-e-ban-35m-x-1-ngu-p-trung-tam-thanh-xuan-pccc-tat-hiem-day-du-pr44319241
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",54.0,1.45,Sổ đỏ/ Sổ hồng,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/chinh-chu-ban-cc-54m2-2pn-2wc-tai-bui-xuong-trach-o-ngay-full-do-pr44301966
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",60.0,2.55,Sổ hồng,3,1,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/chinh-chu-ban-ccmini-2-ngu-fuul-noi-that-nha-dep-long-lanh-ngay-chi-2-170-ty-pr44359827
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",53.0,1.52,Sổ đỏ/ Sổ hồng,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-khuong-dinh/moi-2025-ban-b3-thanh-xuan-1-2pn-2wc-33-45-53m2-o-ngay-pr44270993
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Đình",54.0,15.5,Không rõ,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-dinh-phuong-thanh-xuan-bac/sieu-pham-dong-tien-khuonh-dong-tien-70tr-th-14pkk-full-do-gan-pho-pr44311059
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Trung",48.0,1.91,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-trung-phuong-khuong-trung/ban-ccmn-so-hong-tung-goc-thoang-dep-gia-re-hoang-van-thai-pr44358025
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Trung",52.0,2.16,Sổ đỏ/ Sổ hồng,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-trung-phuong-khuong-trung/ban-chinh-chu-b2-nga-tu-so-thanh-xuan-33-52m2-so-do-lau-dai-pr44069442
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Trung",32.0,2.38,Sổ đỏ/ Sổ hồng,1,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-trung-phuong-khuong-trung/ban-nha-o-ngay-gan-nga-tu-so-thanh-xuan-2-38-ty-pr44050814
28/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Khương Trung",52.0,1.65,Khác,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-khuong-trung-phuong-khuong-trung/hiem-ban-2n-2wc-tai-vu-tong-phan-dinh-thanh-xuan-o-luon-moi-tinh-so-do-pr44282300
24/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Kim Ngưu",45.0,1.0,Sổ hồng,6,6,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-kim-nguu-phuong-minh-khai/mo-ban-d4-hai-ba-trung-gia-ban-800tr-den-hon-1-ty-pr43027540
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Lạc Long Quân",26.0,0.95,Sổ đỏ/ Sổ hồng,2,1,Khác,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-lac-long-quan-phuong-buoi/chinh-chu-ban-ccmn-g3-thuy-khue-o-ngay-oto-do-cua-full-noi-that-pr44016495
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Lạc Long Quân",50.0,1.98,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-lac-long-quan-phuong-thuy-khue/soc-2-ngu-full-do-chi-1-9xx-ty-ngay-tay-co-so-o-ngay-pr44023752
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Láng",52.0,2.27,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-lang-phuong-lang-thuong/ban-ccmn-thoang-dep-tang-6-9-o-cau-giay-dh-ngoai-giao-thong-pr44196326
29/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Láng",50.0,2.0,Hợp đồng mua bán,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-lang-phuong-lang-thuong/ccmn-vi-tri-h-iem-canh-vuon-bach-thu-50m-2-ngu-ban-cong-thoang-gan-ga-cau-giay-pr44401629
